model,accuracy,precision,recall,f1,roc_auc,cv_accuracy,cv_f1,training_time_sec,best_params,timestamp
Random Forest,0.9955151515151515,0.9955143065844481,0.9955151515151515,0.9955147078202018,0.9998064989800527,0.9966699966699967,0.9966699946616735,393.83,"{""n_estimators"": 100, ""min_samples_split"": 5, ""max_depth"": null}",2026-08-03T18:25:53.884093
XGBoost,0.9957575757575757,0.9957554380139446,0.9957575757575757,0.9957563155795014,0.9998734537577513,0.9973859473859473,0.997385947346598,121.86,"{""subsample"": 0.8, ""n_estimators"": 200, ""max_depth"": 6, ""learning_rate"": 0.1}",2026-08-03T18:28:18.797320
Neural Network,0.9940606060606061,0.9940675234563259,0.9940606060606061,0.9940635367489392,0.9994636768190488,0.9936563436563436,0.9936563434378748,211.16,"{""learning_rate_init"": 0.0005, ""batch_size"": 256, ""alpha"": 0.001}",2026-08-03T18:33:06.094956
